,B.1.1.7,B.1.351,P.1,B.1.617.2,B.1.617.1,undetermined,city,k
2021-04-17,0.9440277678126754,0.006487269921651145,0.009142761534618422,0.00471544052359443,0.00040963751941592945,0.03521712268804489,Lausanne (VD),43.0
2021-04-18,0.937993599737361,0.0069672225162553825,0.009239322321588316,0.005037476329002359,0.00036194178029108425,0.040400437315501816,Lausanne (VD),43.0
2021-04-19,0.9313826717103698,0.007521598245532905,0.00932724698932557,0.005336925156260344,0.0003136699900748196,0.046117887908436475,Lausanne (VD),43.0
2021-04-20,0.9244424641059537,0.008120339525949358,0.009403616735652001,0.005593398566996464,0.00027210324708741254,0.05216807781836112,Lausanne (VD),43.0
2021-04-21,0.9175006937876752,0.00872644975605468,0.009463996553338698,0.005787152798896704,0.0002446668858766356,0.0582770402181581,Lausanne (VD),43.0
2021-04-22,0.9109305777908728,0.009298668483837794,0.009504578521874456,0.005903009060987502,0.0002370289279467888,0.06412613721448052,Lausanne (VD),43.0
2021-04-23,0.9051033509874294,0.009795152283497206,0.009524307401225117,0.005933656108759437,0.0002515108734389519,0.0693920223456499,Lausanne (VD),43.0
2021-04-24,0.9003397170749902,0.010177998475616838,0.009526418811483046,0.005881121098977546,0.0002864908243333551,0.07378825371459892,Lausanne (VD),43.0
2021-04-25,0.8968730745601562,0.01041826446783084,0.009518885829124465,0.005755711833402175,0.0003371692777261409,0.07709689403176015,Lausanne (VD),43.0
2021-04-26,0.8948332025484762,0.01050071353986751,0.009513473664366274,0.005572653430773275,0.00039748351380907674,0.07918247330270767,Lausanne (VD),43.0
2021-04-27,0.8942515169066747,0.01042709021758062,0.009523428412463609,0.005347552563802759,0.0004623980255551197,0.07998801387392329,Lausanne (VD),43.0
2021-04-28,0.8950816835483802,0.010216709562404992,0.00956024106543228,0.005092285405960229,0.0005295983950707301,0.07951948202275132,Lausanne (VD),43.0
2021-04-29,0.8972252910771848,0.009903740517269518,0.009630336458192808,0.004812715498357814,0.0005998926171870813,0.07782802383180801,Lausanne (VD),43.0
